"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"LOGO";2;"LOGO";;;
2;"R14,R20,R11,R12,R22,R21";"R_0201_0603Metric";6;"4.7k";;;
3;"J1";"Coax-Adapter";1;"CONMHF4-SMD-G-T";;;
4;"D3,D1";"OSRAM_SFH2400FA-Tight";2;"SFH 2400 FA";;;
5;"C24,C20,C4,C26,C21,C6,C5,C11,C43,C45,C49,C47,C44,C48,C42,C19,C46";"C_0201_0603Metric";17;"0.1uF";;;
6;"L7,L2,L1";"L_0402_1005Metric";3;"BLM15AX102SN1D";;;
7;"R16,R17";"R_0201_0603Metric";2;"15k";;;
8;"C41,C27,C29,C40,C37,C38,C28,C30";"C_0201_0603Metric";8;"1uF";;;
9;"SW1";"MITSUMI_R-668049";1;"R-668049";;;
10;"U8";"LATTICE_ufcBGA64C40P8X8_3.5X3.5X1.0";1;"LIF-MD6000-6UMG64I";;;
11;"R15";"R_0201_0603Metric";1;"49.9";;;
12;"D2";"ROHM_SML-P11MTT86R";1;"SML-P11UTT86R";;;
13;"U7";"TI_RHB0032P";1;"DS90UB953A-Q1";;;
14;"J3";"IDC-Header_2x05_P2.54mm_Vertical";1;"SBH11-PBPC-D05-ST-BK";;;
15;"R25,R2,R1";"R_0201_0603Metric";3;"1k";;;
16;"C34,C17,C25,C35,C52,C23,C51";"C_0402_1005Metric";7;"1uF";;;
17;"R7,R8";"R_0201_0603Metric";2;"2k";;;
18;"C8,C14,C16,C7,C9,C15,C58,C22";"C_0201_0603Metric";8;"10nF";;;
19;"C12";"C_0402_1005Metric";1;"0.1uF";;;
20;"R5";"R_0201_0603Metric";1;"?";;;
21;"L3";"L_1210_3225Metric";1;"CBC3225T101MR";;;
22;"C2,C1,C3,C50";"C_0402_1005Metric";4;"10uF";;;
23;"U4,U13";"ONSEMI_567JZ_WLCSP4-0.64x0.64";2;"NCP163AFCT330T2G";;;
24;"C18";"C_0805_2012Metric";1;"47uF";;;
25;"U10";"ONSEMI_567JZ_WLCSP4-0.64x0.64";1;"NCP163AFCT120T2G";;;
26;"U3";"LGA-28_5.2x3.8mm_P0.5mm";1;"BNO055";;;
27;"L9,L8";"L_0402_1005Metric";2;"BLM15PX601SN1D";;;
28;"R6";"R_0201_0603Metric";1;"40.2k,1%";;;
29;"U5";"TI_SIP0008B";1;"TPS826951";;;
30;"R4";"R_0201_0603Metric";1;"78.7k,1%";;;
31;"TP4";"TestPoint_Pad_D0.6mm";1;"+3.3V";;;
32;"J5";"ONIXJTAG-RevA";1;"PINHD-1x7_ONIXJTAG-RevA";;;
33;"L4";"L_0805_2012Metric";1;"CIG21L4R7MNE";;;
34;"R3";"R_0201_0603Metric";1;"39.2,1%";;;
35;"TP9";"TestPoint_Pad_D0.6mm";1;"~{CS}_{Flash}";;;
36;"C13";"C_0402_1005Metric";1;"47nF";;;
37;"TP2";"TestPoint_Pad_D0.6mm";1;"GPIO1";;;
38;"R10,R9";"R_0201_0603Metric";2;"10k";;;
39;"TP8";"TestPoint_Pad_D0.6mm";1;"+1.2V";;;
40;"C10";"C_0402_1005Metric";1;"22nF";;;
41;"";"OE-LOGO-7X5";1;"";;;
42;"U9";"ONSEMI_567JZ_WLCSP4-0.64x0.64";1;"NCP163AFCT180T2G";;;
43;"F1";"LITTLEFUSE_0402";1;"0402L020SL";;;
44;"TP3";"TestPoint_Pad_D0.6mm";1;"AUXIN1";;;
45;"R13";"R_0201_0603Metric";1;"0";;;
46;"L6";"L_0201_0603Metric";1;"BLM03AX102SN1D";;;
47;"JP1";"OE_SolderJumper-2_0201_Open_Pad";1;"Jumper_2_Open";;;
48;"C54,C55,C57,C56,C53";"C_0402_1005Metric";5;"2.2uF";;;
49;"U2,U6";"TRIAD_BGA-9_3x3_1.7x1.7mm";2;"TS4231";;;
50;"U11";"WINBOND_USON8-2x3x0.6";1;"W25Q80EWUXIE";;;
51;"L10,L13,L16,L12,L11,L15,L14";"L_0201_0603Metric";7;"BLM03PX121SN1D";;;
52;"TP5";"TestPoint_Pad_D0.6mm";1;"AUXIN0";;;
53;"U1";"INTAN_BGA-100_17x13_9.0x7.0mm";1;"RHD2164";;;
54;"TP1";"TestPoint_Pad_D0.6mm";1;"AUXIN2";;;
55;"J2";"HIROSE_DF40C70DP04V51";1;"DF40C-70DP-0.4V(51)";;;
56;"U12";"MICROCHIP_VFLGA4-2.0x1.6";1;"DSC6011JI1A-050.0000";;;
57;"TP10";"TestPoint_Pad_D0.6mm";1;"GNDA";;;
